,"Please describe the first activity that you perform using multiple devices:
- Describe the activity: 
   - What is the activity?     - What does it in involve?   - What software is involved in this activity?    - Who is involved? 
- Describe the configuration:
   - How are you using the devices?    - How are they positioned physically in the space?",(Optional) Upload image of first activity here - Name,Frequency,Pattern Code,Tasks,Photos and Text,Notes
P91,"Software development:
- Occasionally I write software that requires multiple endpoint.  
- If a Virtual Machine isn't practicable (e.g. I need physical sensors from the hardware), I use my main workstation as one endpoint and the laptop as another.
- My laptop is oriented 90deg to my left.
- Often I will use Remote Desktop to connect to the laptop to avoid having to swivel back and forth.  Since my main workstation has multiple monitors, I can easily put the laptop's RDP window on the secondary monitor.
",InkedIMG_9066_LI.jpg,Multiple times a day,Integrate,"Development and Testing (multiple endpoints)
",,
P22,"Learning and Skill Enhancement. I regularly enroll in various courses on Coursera and edX. I use all the three devices for it. I use edX and Coursera website on laptop and desktop while Coursera and edX app on my phone.

Mostly, I perform various hands-on activities on laptop and/or desktop while I use mobile app for watching lecture videos.",Screenshot_20200714-102004.png,Daily,Integrate,Learning - Watch and Activities,,Interesting once
P57,"Joining a teams online meeting from my home office to go with a client about their IT or security network design with myself and sometimes another teams member. I use Microsoft teams, digital whiteboard explain everything, office 365 documents and tools. I use my iPad to screen share my digital whiteboard, my iPhone for internet audio on teams, and my surface for large screen view and web cam. iPad flat down  my desk with Apple pencils, iPhone on stand t my left, surface standing up with larger monitor above. ",DAD1DE63-AE63-4743-ADF2-21F96CE3EB5A.jpeg,Daily,Integrate,Meeting and Content Sharing,,Good example for collaboration and meeting
P57,Same activity as first client call with Microsoft teams. I have my iPad on my lap with magic keyboard case and phone on my lap with trucker Bluetooth headset with wind mic. ,80F726F6-AD55-4F75-BF63-B15FC4650DF1.jpeg,Weekly,Integrate,Meeting and Content Sharing,,
P56,Work meetings and webinars I use my iPad to drive most of the meeting but my PC to share documents or advance slides. iPad is right below my PC. Also use iPhone to demonstrate iPhone app via Zoom. ,image.jpg,Multiple times a day,Integrate,Meetings - call and document sharing,,
P80,#NAME?,15959966662142078435472.jpg,Multiple times a day,Integrate,Reading and Writing ,,
P60,"Setup 1 in the photo, access to Worksite through VPN (sophos VPN client), email on MS Exchange Server, integrated document management system (iManage), access OneDrive for Business, Microsoft Teams, billing portals through Aderant iTimekeep and Rippe, video conferencing through Teams, Webex, Google Meet and Zoom.  In home, Dell A-I-O desktop with 2nd Dell Monitor, Brother and Toshiba Scanner/Printer/Fax/Copiers.  Desktop hardwired to Verizon FIos Router, and also connected to Netgear Orbi Mesh Wifi Network, where the Brother and Toshiba are also connected.  Also, remote access other work related home PC's through TeamViewer software. The AIO and External Monitors are in a slightly obtuse angular configuration, approximately 120 degrees, and I use the WIndows 10 Project setting to ""extend"" to the second monitor.  I am able to sometimes combine a screen from on-site work terminal server through the VPN on the Dell A-I-O monitor, with a local document I am working on locally on the secondary monitor.  Also, I have an external microphone set up for dictation through Nuance  Dragon, with which I can dictate to text either to a local document or email, or to a document or email I am accessing remotely though the work VPN.   I have set up my onsite office something like this, but because of security on that end, the experience is better and less buggy from my home access.  ",Setup 1.jpg,Multiple times a day,Integrate,Remote Work/Doc and Local Work/Doc,,Good participant
P81,"I test VPN setups by managing the server (on AWS) on my PC and connecting with a client on my laptop. I sit at my office desk and have the laptop on a small table to my right.
Software: OpenVPN Access Server",20191023_124630.jpg,Daily,Integrate,Set up and Testing,,
P60,"My wife does remote teaching and tutoring, on the Surface Pro 3 through a Logitech Streaming Camera, and sometimes with a second, larger monitor.  She uses Google Meet and some school-related and proprietary tutoring company software but primarily utilizes Microsoft Whiteboard with her Surface Stylus as a stand-in for a chalk board that she shares with students.  We also use the Surface Pro and Logitech Camera for Zoom meetings.  ",Setup 3.jpg,Multiple times a day,Integrate,Teaching and Tutoring,,Content sharing
P94,"data verification
listening to sound files
Audacity, Excel
me alone

having windows open on both the laptop and the monitor for ease of work. Also using network folder to access files. Using wireless mouse
positioned as seen in foto.  Addition of ear buds for listening.
This task comes and goes",office.JPG,Weekly,Integrate,Work - verification,,
P83,"Working - Training
Using my surface and external screen
MS Office, Teams. Outlook, PowerPoint, 
Remote Work Colleges and/or clients

Surface in on the desk to the left of my personal computer.  An external monitor connected to the Surface is placed on a box so that the screen is above the surface. A headset is connected to a USB hub connected to the surface.

Often I tether my phone to using wifi so I can use the faster cellular network.  I live in a rural area and the DSL is slow like below 4mb/s download.  4G LTE is much faster.  The phone is on the desk to the right on a wireless charger. ",20200729_104906.jpg,Multiple times a day,Integrate,Work and Communication,,Integrate internet speed 
P83,"Watching Webinars
Usually just a browser or an application
Edge, Teams, Zoom, GoToMeeting 
Just me

The desktop is to the right of the desk on the floor
The keyboard mouse and monitor are on my desk right of my work setup.

Often I tether my phone to using wifi so I can use the faster cellular network.  I live in a rural area and the DSL is slow like below 4mb/s download.  4G LTE is much faster.  The phone is on the desk to the right on a wireless charger. ",20200729_104906.jpg,Multiple times a day,Integrate,Work and Communication,,Integrate internet speed 
P21,"- Game development
- creating 3d, sometimes VR games 
- Unreal Engine and Visual Studio or Unity Engine and VS Code
- Me and other workers remotely in other states

- All intense software running on Windows Desktop with laptops running for watching videos and web browsing without weighing down the desktop
- As in picture, Desktop on desk, laptop on side table",20200713_210605.jpg,Multiple times a day,Integrate ,"Development and Browse
Development and Watch Videos",,Distribute based on computing power needed - keep intense software on one device
P42,"Gaming on my desktop using a mouse and keyboard with Steam and a RPG/FPS/strategy/city builder game. I frequently play with a friend and will use an Astro a50 headset, chatting over discord. The third monitor not used for the game or chat will have reference material for the game. The configuration was in the provided screenshot, 3 monitors in a curved fashion around me, using the mouse and keyboard.",20160115_234244.jpg,Daily,Integrate ,"Game Play and Communication
Game Play and Communication ",,
P68,"While working on a large dataset, I have an excel spreadsheet on my large 4k monitor while remote contrlolling assets RDP  on another screen.  I have outlook calendar open on another screen with teams and outlook mail in another (comms).  My screen layout changes with my mood",IMG_20200726_211701.jpg,Daily,"Integrate, Partition","Work and Communication 
Analysis and Remote Control Assets",,
P52,"Collect media from various cameras, catalog. This means mostly handheld cameras like Canon and Fuji but sometimes audio, or special cameras like garden monitors. Over the years IÕve grown the system to allow uploads and access when I travel around town or internationally. It depends on rocky but also Chrome Remote Desktop",image.jpg,Weekly,Migrate,Collecting photos ,,An interesting merge example
P72,"Work

IT and software development for a multi-national IT hardware distributor/reseller/system builder

My main driver is my Surface Book 2, connected to 2 4K monitors via a Surface Dock; Surface Keyboard; Surface Mouse; Logitech webcam.

Communication during the day is done over Teams either using a headset connected to the Surface Book, a Lenovo ThinkSmart View if I'm busy pushing the performance of the Surface Book; or via the iOS app on my iPhone if I'm away from my desk at the time the call comes in.

At times I can also have my Macbook setup beside me that I use to test and build a couple of iOS apps.

Everything bar the Macbook is on a standing desk that is always in the standing position (never got around to buying a desk chair in 3 years). Monitors are mounted on arms leaving more desk space for devices, USB fan, and Amazon Echo (for background music)",WIN_20200727_21_09_47_Pro.jpg,Multiple times a day,Migrate,Meeting,,Answer the call with different devices based on differnet locations 
P47,"- Reading news
- phone, desktop, tablet
- browsers and news apps
- myself
Config:
- phone or tablet I use in hand, or I have stands that I place them in
",news.jpg,Multiple times a day,Migrate,Reading,,
P22,"Checking mails, messages etc. and replying them. I always check mails and messages first thing in the morning as my daily routine is decided by it. I use Outlook desktop on the laptop, Outlook app, WhatsApp and SMS Organiser on the phone for this activity.

I use outlook on the phone just to read mails. I reply and write mails mostly on my laptop. As for the messages, I only use phone. Phone is always with me in my pocket while laptop is placed on the table.",Screenshot_20200714-094950~2.png,Multiple times a day,"Migrate, Partition","Communication - Read to Write
Communication - Email and Communication - Chats",,
P25,"DELL pc at work controls thee monitors for my use.. one monitor has email on, one runs powerpoints/photoshop demos and the other a system checker called Impero to monitor student work and screens (31pcs in the room). This pc also broadcasts the photoshop or pwerpoints to two 65'' 4k screen i the classroom. linked to office 365 so work can be prepared at home on my own Dell pc OR on the MS Surface GO.

second PC at work has a single 65'' 4K tv for classroom demo work and access to the viewer software Impero to watch students work on their PCs (24pcs in room, 10 imacs). Also monitors the iMacs i have for CAD designing work (imac only software).",thumbnail_processed.jpg,Multiple times a day,Partition,"Communication (emails), Content Sharing, Monitor Students",,Interesting one?
P16,"Meetings
- Work: meetings with worldwide workers and partners
- Using memote meeting software for average 6 meetings per day
- Work: corporate s/w is Zoom, some partners use Zoom or GTM. Personal: various software used by my Meetup groups for my ongoing professional education - almost always Zoom.
- Work: initiated by or or others - up to a dozen attend; personal education - initiated by the groups with several dozen in attendance 
Configuration: 
Work: i use multiple devicesif there are concurrent meetings.",5.jpg,Multiple times a day,Partition,Meeting - concurrent meetings,,
P50,"I am following a twitch feed for professional development, or an Office version of Meet. (with professional dev leaders and participants.) (Fair Chance Learning if you care)
I need to be able to also use Minecraft, So I am at my Dining room table with my Macbook Air (which has the non-beta version of MC:EE on it.) I am running Meet on my Dell laptop. My phone is always necessary. I take notes on a write erase board, and keep a tab open for digital note in Google drive. It may be easier to take a picture of the screen with my phone.
It is just two laptops on a table, side by side. I use external mice. It is hard on my shoulders.",setup.jpg,Weekly,Partition,Watch streams and Game Play (?),,two laptop setups
P11,"Creating or editing Office documents - One or more open documents (on large external monitor), still have Teams and Slack open (on laptop screen), still have Your Phone and Whatsapp open (on a second virtual desktop)
I sit mostly facing the large monitor but still with the laptop in view",20200713_183128.jpg,Multiple times a day,Partition,"Writing, communication (work), communication (personal)",,
P94,"- Discussions over Teams
- A colleague and I discussing a task and screen sharing as well as controlling the other's screen.
- Using Teams, Visual Studios, coding website
- A colleague and me

Config
- large monitor, laptop
- See foto for set up",office.JPG,Weekly,Single Device,,,
P11,"Video meetings and calls - Microsoft Teams - Me and one or more colleagues
I sit facing the laptop as that is where the webcam is located. I prefer the laptop elevated off the desk to get a more pleasing angle on my face (no double chins!)",20200713_182816.jpg,Multiple times a day,Unclear,,,
P47,"- podcasts
- listening with headphones
- stitcher & browser based
-  myself
Config:
- phone or tablet I use in hand, or I have stands that I place them in
",stitcher.png,Multiple times a day,Unclear,,,
P47,"- streaming videos/movies
- watching
- netflix, amazon prime, youtube, browser based 
- myself and wife
Config:
- phone or tablet I use in hand, or I have stands that I place them in
",amazon.png,Weekly,Unclear,,,
