Id,Description,(Optional) Upload image of first activity here - Name,Frequency,Pattern Code,Tasks,Notes
P97,"2. Read corporate email - access to the internet - typically Microsoft Remote Desktop Client app and Windows Virtual Desktop - only me. I exclusively use WVD as it works on multiple devices (all that I own) and does not require domain join or Intune mobile device management enrollment, and compliance with Conditional Access device health and device management rules. 
",,Multiple times a day,Clone ,Communication - emails ,Need to make sure work emails can be accessed via multiple devices
P93,"Gaming
-Custom gaming PC + monitor is primarily the only thing. Sometimes I turn on the projector or 55"" TV and extend the screen and move the video game for a larger gaming experience. This almost always means I'm switching away from keyboard/mouse to an Xbox controller.
Gaming PC setup in front of me, then 55"" TV on a dresser to the right, then a projector in between those projecting behind me on the bedroom wall.

",,Multiple times a day,Clone ,Game Play,Need a larger screen 
P63,"Home monitoring - have about 15 Arlo cameras in two locations monitored via phone, tablet , or pc. Two doorbells, one Ring , one Arlo. Generally monitored via Apples.

One Nest thermostats In each house and one Nest protect in each. Generally monitor via Apples",,Daily,Clone ,Smart home - monitor home ,
P76,"Watching videos.

I have an Apple ecosystem where I’m able to upload videos and watch them on any device from my iPhone to airplay one Apple TV or my Mac Pro. 

Typically, I stream D+ or Netflix. I have a Google Fiber internet connection with wired connectivity to all of my devices through a switch network. ",,Weekly,Clone ,Streaming media,
P77,"casting screen of laptop or screen to TV
allows more easy sharing of information than passing a device around
airplay connection to Apple TV or directly to Vizio TV from iPhone or Mac
me and whoever I am trying to show things to

I am controlling the phone/laptop whose screen is showing on the TV
Large TV is in front of the living room, while I am in the back on a couch",,Weekly,Clone ,Streaming media,
P15,#NAME?,,Weekly,Clone ,Watch TV - streaming,
P60,"I use an original Surface Pro, soldiering on without complaint or issue, for general browsing and to produce digital paintings through a tethered Xpen drawing tablet.  We can also access the TV's and the various Amazon Echo/Alexa devices to share music, video, pictures.  We cast Youtube to the TV's through laptops, phones, tablets, etc. I have a number or art related programs but the one I use and love most, is still Microsoft FreshPaint!  I sorely wish that you guys had kept working on this wonderful program.  ",Setup 2.jpg,Weekly,"Clone, Integrate","Browse and Draw
Media Casting",
P70,"- Having an office hours meeting with a student. 
- Currently involves the following: 
  - Student uses calendly.com to automatically set a meeting with me. 
  - Apple watch notifies me (through the Outlook app) that this meeting is scheduled.
  - Meeting is added to my Apple Calendar. 
  - On the day of the schedule meeting, Apple Watch tells me meeting is about to start.
  - On my iMac I pull up Apple's Calendar app and click on the meeting, Zoom link is already embedded. Clicking that launches Brave, which then opens Zoom and starts the meeting.
  - If the students needs to discuss something whiteboardy I pull out my iPad and Apple Pencil and give impromptu whiteboard explanation shared through my iMac over Zoom. 
  - I probably sit down to do the whiteboard part and tilt the iMac monitor down so that the student can still see me. ",,Multiple times a day,"Clone, Integrate","Schedule and Notification
Meeting and Discussion",Whiteboard often associates with discussion
P36,"Steaming Live concerts in the new stay at home era
* Some concerts are only availlable on Facebook Live. Physically I use my Samsung Galaxy S9+ phone to launch the facebook app. I mirror the phone to the big screen TV using samsung smartscreen. I have my ipad open to text with friends during the concert. My wife will have her iphone open for texting friends. My wife has her laptop open to follow the facebook live stream and read comments. We use texts and message apps instead of voice since we are watching a live concert. (A similar model might present itself for gaming nights on the laptops and ipads but with Voice on a phone conference line.)
What: Watching a live concert as a family from home
SW: Facebook app, verizon text messages app, apple messaging app, samsung smart mirror, facebook web site
Who: me and spouse
Physical - phone is next to me but connected wirelessly to TV; ipad on my lap. Wife on couch with laptop on arm, phone switches between lap and next to her. Sometimes it will be her laptop, sometimes her ipad.",,Weekly,"Clone, Integrate","Watch concert 
Watch concernt and Communication - check comments",Classic clone streaming case! 
P6,"Activity: signing into accounts. I've recently started using Microsoft Authenticator. Now, when I sign into certain accounts (Microsoft, Twitter), I'll get a notification on my iPhone and Apple Watch. When I respond to that notification, it'll authenticate that I'm who I say I am and let me know. For example, recently when I startup my HP Notebook PC, I get a complaint message that ""OneDrive is not signed in"". I can click to authenticate which sends a message both to my iPhone (usually nearby) and my Apple Watch (very often I'm wearing this), and then choose one of them to do the validation. The software involved is Microsoft Authenticator and the native Twitter app, or the OneDrive software on the Notebook PC under Windows 10.",,Multiple times a day,"Clone, Migrate",Authentication,
P66,"Teams and email (communication) both on the device that’s easiest at the time. I can be out walking the kids and be on a teams meeting with my phone. The couch and the surface go well together when the iphone screen is too small.
",,Multiple times a day,"Clone, Migrate",Communication - chat and emails ,"Easiest and mobility
Migrate when the screen is too small"
P7,"Monitoring e-mail messages.
Sofware is Windows 10 on my HP desktop or laptops.
Also Android software on My Blackberry.
I just put the Blackberry on the mousepad for the HP or beside the laptop.
I may read emails on either device - if I am watching a video on the desktop, I might read emails on the phone.
If I get up and move around I use the phone.
If I am in my office watching TV, I might be reading something on a website with the desktop and checking email on the phone. ",,Multiple times a day,"Clone, Partition","Communication - Emails 
Communication - Emails and watch TVs/Reading Document",
P18,"Play Blizzard games during breaks, such as Heroes of the Storm. When the monitor is in portrait orientation, the resolution cannot be selected. Unable to play games normally in windowed mode. Equipment: dell u2413 & u2718q, nVidia gtx1066, win2004.",,Daily,Expand,Game Play,
P59,Gaming. Intel NUC + windows laptop for Age of Empires multiplayer. ,,Rarely,Expand,Game Play,
P66,"Gaming: dell desktop, I use the main screen.",,Daily,Expand,Game Play,
P77,"PC Gaming
Bootcamped MacBook plugged into thunderbolt eGPU dock plugged into Monitor.
Use various games platforms such as steam and origin.
Usually just me or online friends.

The Macbook is out of the way and is pretty much just a desktop. External keyboard and mice are plugged into the egpu dock, as is a monitor.",BURST20190828230812878-01.jpeg,Weekly,Expand,Game Play,Expand can be using all resources for one taks 
P68,I update the sites and services map for our active directory.  I use the active directory topology diagrammer and Visio. The large screen is a godsend for this task....the cat isn't much help,IMG_20200726_212209.jpg,Monthly,Expand,Map Editing,Require screen size
P76,"1: Development work-

I utilize both a MacBook Pro and Mac Pro simultaneously in my office for development.
I do UI/UX development work and front-end development. 
To use this, I have set up an app called Synergy that allows me to use one keyboard and mouse with two computers in a three-monitor setup. I’m able to drag and drop files amongst the two systems and copy/paste rather well.
If you look at image 3, you’ll see the set up I’m mentioning. I work with just myself but collaborate with coworkers remotely. ",,Multiple times a day,Expand ,Development ,Expand input modality 
P4,"Gaming
Laptop
Steam
I play the videogames
--------
I play in the laptop using keyboard and mouse
I sit in front of desktop. In the desktop there's the laptop and monitor",,Daily,Expand ,Game play,monitor needed to focus in the game?
P22,"My work consists of Design and Simulation of 3D CAD Models. I use my Laptop and Desktop for it. The software used are HYPERMESH, CREO and ANSYS.

I use HYPERMESH on my laptop as it is less resource intensive and I need to use it more frequently than other two software. CREO and ANSYS need more resources and are graphics intensive software and for that I use my desktop PC. In office, I only use my laptop while at home, both the devices are placed side by side on the table for parallel usage.",Annotation 2020-07-14 101427.png,Daily,Integrate,3D Modeling,Distribute based on computing power needed 
P46,Two factor authentication to start my work vpn.,,Daily,Integrate,Authentication,
P88,"Transferring an image from my phone to computer.

On my mac, I use airdrop to transfer data from my phone. On my windows PC, I save the image onto OneDrive from my iPhone and access it using Windows explorer.

I usually take pictures on my desk using my phone and upload them in the same locations as my Windows or Mac PC.",,Daily,Integrate,Camera and Accessing Photo,
P24,"Describe activity:
- Responding to emails simultaneously on my laptop and phone
- Answering emails
- ThinkPad: Outlook, Windows 10, Sticky Notes, Edge Canary; iPhone - Outlook, Apple Calendar, iCloud Notes


Configuration:
- Because it's a ThinkPad Yoga, I sometimes alternate between tablet mode, laptop mode, or presentation mode. My phone is on the table, and I pick it up as needed.
- ThinkPad on the table, phone in my hands. ",,Multiple times a day,Integrate,Communication - Emails,
P89,Reading and responding to emails & Teams messages using Ms Outlook and Teams - on my work laptop and my iPhone,,Multiple times a day,Integrate,Communication - read and reply,Maybe migrate or integrate
P5,"- Online Conferences
- The activity involves video calls with other members of the team, giving lectures on conferences, and attending community events
- Microsoft Teams, Onenote

- HP Folio 13 is connected to TV, where I place the video input from the meeting. On Surface Pro 7 I use the chat, camera and microphone to communicate in the same meeting, and eventually share content, but I don't use the video input. Also on this device I use OneNote to take notes. Please see pictures for positions. HP Folio 13 is connected through a wired network, while Surface Pro 7 is on WiFi unless really important conference.",IMG_20200713_230807.jpg,Daily,Integrate,Conferences,Classic integrate input/output modality
P23," Managing/viewing/listening to media from the server; involves curating music, video and picture library (currently over 1TB of data); maintaining backup drive, maintain OneDrive and managing Plex software and service; Additionally, various video streaming services are installed and used on the server; When running a video netcast, the consumer feed is monitored on the server's large screen;  Primarily only one person involved, but occasionally in-studio guest is; They are position against left wall, off-camera.",,Multiple times a day,Integrate,Content Curation,
P61,"I do my work from a desk using my laptop with two extension monitors. My work involves data analysis and computer programming. I use remote desktop software, python, VS Code, and JupyterLab primarily. They are on a desk with the largest Monitor in the center and the laptop off to the side. ",image.jpg,Daily,Integrate,Data Analysis and Development,
P15,#NAME?,,Daily,Integrate,Development,
P35,"Mobile App Development
- Visual Studio w/ Xamarin.
- MacBook Air (idling in the background).
- iPhone and iPhone simulator.
- Android phone(s) and Android emulator.
- Usually from my desk.",,Multiple times a day,Integrate,Development,
P35,"Web Development
- PC, SP7 & mobile devices.
- Usually from my desk.",,Multiple times a day,Integrate,Development,
P59,"Software development for fun. 
MacBookPro, Windows laptop, intel nuc, raspberry pi",,Monthly,Integrate,Development,
P66,"I like my dell workstation, even though it’s old, it’s got 96gb ram and 12 cores/24 threads. I like it for software development. I use all the screens.",,Multiple times a day,Integrate,Development,
P68,"Using VS code, Notepad++, and Microsoft MDT, I Work on an encryption migration project.  Same screen layout as before",IMG_20200726_212000.jpg,Multiple times a day,Integrate,Development,
P77,"App/Web development
Macbook, phones
Android Studio, VSCode, XCode
Me

If making an app, phones are connected via cable or wirelessly to laptop in order to test on device.
For websites, I run a local server on the laptop so I can view them on phones and check layout, etc.

Laptop is on desk with phone also on desk or physically in hand",,Weekly,Integrate,Development and Testing,
P87,"Activity: Work

- Daily work
- Meeting with colleagues, programming, debugging and development
- Windows, Linux, teams, outlook, and work specific software.
- me and colleagues

-Configuration: Surfacebook laptop and additional monitor. Test and debug devices, linux laptop and my phone, spread between two desks.
-Laptop and monitor to do software related work, check email, video calls. Test and debug devices for other test work.
-Positioned on two tables next to each other. One with a laptop and monitor setting. The other with debug, a separate linux laptop and test devices.
",20200710_175216.jpg,Multiple times a day,Integrate,Development and Testing,Classic dev setup
P90,"Activity
- Embedded Hardware/Firmware debugging
- Physically interacting with hardware and electrical test equipment while writing and debugging code, view schematics, data sheets, etc.
- VS Code, Embedded programmer/debugger, Alitum DXP, PDF Viewer, Web Browser, Logic Analyzer Software, etc.
- Just me
Config:
- HP Z420 (work desktop) with 3 monitors, digital oscilloscope (with integrated display) and other supporting test equipment (power supplies, multimeter, etc).
- 3 monitors centered on sit/stand desk (almost always in the standing position when working with HW), hardware work bench at roughly standing height to the right of the computer desk. Work bench contains hardware prototypes, oscilloscope and other test equipment. All computer input from wireless keyboard and mouse, and test equipment input provided directly (front panel buttons) with the exception of the oscilloscope which also has an additional wireless mouse kept on the hardware bench.",20200713_233555074_iOS.jpg,Multiple times a day,Integrate,Development and Testing,
P91,"Software development:
- Occasionally I write software that requires multiple endpoint.  
- If a Virtual Machine isn't practicable (e.g. I need physical sensors from the hardware), I use my main workstation as one endpoint and the laptop as another.
- My laptop is oriented 90deg to my left.
- Often I will use Remote Desktop to connect to the laptop to avoid having to swivel back and forth.  Since my main workstation has multiple monitors, I can easily put the laptop's RDP window on the secondary monitor.
",InkedIMG_9066_LI.jpg,Multiple times a day,Integrate,"Development and Testing (multiple endpoints)
",
P21,"- Digital Painting / Sculpting
- using my wacom tablet to either do digital paintings (for game textures or just as standalone pieces) or sculpting 3D meshes
- Krita, Blender, Edge to find resources and inspiration art
- just me

- Using Wacom tablet connected to Either desktop or laptop, yogabook on the side with built in wacom tablet for minor tweaks",,Weekly,Integrate,Digital Art ,
P12,"Scanning documents, using Office app on mu Phone and transferring them to PC or laptop, Office app",,Weekly,Integrate,Document Scanning,Use camera from the phone
P40,"The second activity was scanning paper documents using my iPhone. Either my Lenovo ThinkPad laptop or my iPad is used to send scanned documents, including assignments to be submitted to my lecturer using my college Outlook (365) email. I used a scanning app called Microsoft Office Lens to scan documents. My scanned documents have been synced via OneDrive provided by my college, so that the documents from my iPhone are accessible on either my Lenovo laptop or my iPad.",,Multiple times a day,Integrate,Document Scanning,Modality example
P45,"Writing documents / concepts.
Intel NUC, my server and own  and customer Azure test ressorces
Microsoft Office and Microsoft Visio - Onedrive and customer SharePoint as storage
Mainly myself

Intel NUC with 2 4K monitors is used and a big help if you do documentation or do concept work. Easy to have several terminal sessions open and switch beetween them
",,Daily,Integrate,Document Writing and Reference,
P58,"Describe the activity: 
   - What is the activity?  
Virtual game night where we'll use zoom to talk to and play games like jackbox with friends
   - What software is involved in this activity? 
   zoom, jackbox game, browser
- Who is involved? 

Me, fiancee, and friends (virtually)

- Describe the configuration:
Surfacebook, iPhone, tv
   - How are you using the devices? 
Surfacebook for the zoom call and staying the game, casted to the TV. Iphone to play along 

   - How are they positioned physically in the space?

We're on the couch, laptop on our Ottoman, TV in front of that ",,Weekly,Integrate,Game Play and Communication,Hybrid co-located and remote
P98,Activity involves kid playing xbox with his classmates; they want to see the leaderboard and talk while playing Xbox. . Kid is Xbox or Nintendo Switch for playing; (Cant see leaderboard unless he switches the screen) and uses headphones for talking. ,,Multiple times a day,Integrate,Game Play and Communication/Collaboration,
P79,"Knowledge Work & Research - some on our corporate network (Cisco AnyConnect VPN, O365, Firefox, Various Corporate Apps and limited Internet) and access to Social Networks on personal devices that include web sites/services that are blocked from use via the corporate network.  Also O365 and Firefox/Chrome/Edge.",,Daily,Integrate,Knowledge Work and Research ,Had to use personal device because some sites are not accessible 
P22,"Learning and Skill Enhancement. I regularly enroll in various courses on Coursera and edX. I use all the three devices for it. I use edX and Coursera website on laptop and desktop while Coursera and edX app on my phone.

Mostly, I perform various hands-on activities on laptop and/or desktop while I use mobile app for watching lecture videos.",Screenshot_20200714-102004.png,Daily,Integrate,Learning - Watch and Activities,Interesting once
P40,"The first activity was taking notes from my online classes, using my iPad Air (3rd Gen) with Apple Pencil.
I use my Lenovo laptop connected to its dock to connect to my two monitors for online calls and class sessions from my college using Microsoft Teams. The iPad was placed on a table on the portrait position, and I write my notes using an Apple Pencil and an app called Notability.",,Multiple times a day,Integrate,Learning and Note Taking,Modality example
P86,#NAME?,,Weekly,Integrate,Learning and Note Taking,
P54,Work video meetings involves laptop microphone cellphone,,Multiple times a day,Integrate,Meeting,
P49,"Teams work call

- dial in from Desk on iPhone X using Bose 700 headphones

- join teams call also on my surface book2",,Multiple times a day,Integrate,Meeting - audio and others,
P85,"Conduct Microsoft Office 365 and Teams training ..., Lenovo main device, headset, also use Surface Pro to monitor chat, Use both GoToWbinar and Teams meeting ... devices adjacent on desk and small table. Use iPhone to trouble shoot connectivity issues. Training for school district personnel- teachers, administration, and secretaries ",,Weekly,Integrate,Meeting - Training and Technical Support,
P43,"When I am on a Microsoft Teams call for work (usually with someone sharing their screen), I will often join on both my work laptop and my phone. I will then mute my work laptop and put my phone on speakerphone so I can move about my apartment if necessary and still hear and follow along on my phone.",,Multiple times a day,Integrate,Meeting - Video and Audio,Classic integrate input 
P33,"For my weekly live webinar I run OBS Studio on my desktop connected to my TV, which routes audio and video feeds into Zoom.  Up to 10 participants are involved in the stream, with 80-100 unique views each week but an average of 2-3 viewers per ""view.""
My desktop is set up for controlling the steam, and I have my Surface Pro pulled up for communications and to view the script.
I sit on my couch with a wireless keyboard/touchpad combo, and have my tablet beside me.",,Weekly,Integrate,"Meeting - Webinar (control stream, communciation, view notes)",Classic meeting scenario
P43,"When joining a ZOOM call where I am not actively participating but a chat is enabled (e.g., a live interview with an author), I will often connect on both my iPad and my phone and connect my iPad to my TV so I can watch on a larger screen from my couch. I will then connect to the same ZOOM call on my phone and turn the volume down so that I can use my phone to follow along with the chat and type questions.",,Monthly,Integrate,Meeting - Webinar and Communication - Chat ,
P57,"Joining a teams online meeting from my home office to go with a client about their IT or security network design with myself and sometimes another teams member. I use Microsoft teams, digital whiteboard explain everything, office 365 documents and tools. I use my iPad to screen share my digital whiteboard, my iPhone for internet audio on teams, and my surface for large screen view and web cam. iPad flat down  my desk with Apple pencils, iPhone on stand t my left, surface standing up with larger monitor above. ",DAD1DE63-AE63-4743-ADF2-21F96CE3EB5A.jpeg,Daily,Integrate,Meeting and Content Sharing,Good example for collaboration and meeting
P57,Same activity as first client call with Microsoft teams. I have my iPad on my lap with magic keyboard case and phone on my lap with trucker Bluetooth headset with wind mic. ,80F726F6-AD55-4F75-BF63-B15FC4650DF1.jpeg,Weekly,Integrate,Meeting and Content Sharing,
P28,Teams meetings- I am using Teams for the video call(sometimes use Zoom with individuals outside my organization).  I use the Surface Book 3 as the device for conducting the video meeting and use the Surface Pro X with OneNote for taking notes.  I am usually using the stylus and writing the notes down on the Surface Pro X in OneNote.,,Multiple times a day,Integrate,Meeting and Note Taking,
P86,"During team meetings, I use my iPad and Microsoft teams for the video call and my desktop computer for reference PDFs. The whole company is involved and we go over the project list. The iPad is on my desk propped up so the camera can see me.",,Weekly,Integrate,Meeting and Reference (docs),
P90,"Activity
- Video conferencing
- Communicating with teammates and occasionally looking at supporting materials outside of the Teams call.
- Teams
- Me and remote teammates
Config:
- HP Z420 (work desktop) with 3 monitors and camera on the center monitor
- Center monitor contains video streams of coworkers, right monitor contains Teams chat, and left monitor is available for reviewing related materials. All computer input from wireless keyboard and mouse",,Multiple times a day,Integrate,Meeting and Reference (docs),Classic integrate in meeting
P50,"Zoom meetings: (in Zoom app) (with school faculty)
One laptop for the camera, and to see members of the meeting
One laptop for research and accessing pertinent data for the meeting.
Phone for emerging contact.
In family room, on table with adjustable height.

",,Weekly,Integrate,Meeting and Search,
P85,"Online live webinar training session, with Lenovo, using GoToWebinar, screen sharing... Microsoft Teams training, school district teachers, Surface Pro used to track messages during training; iPhone to receive calls from attendees experiencing technical difficulties. L shaped desk configuration... use of headset to conduct screen sharing / demonstration  ",,Daily,Integrate,Meeting and Technical Support ,
P56,Work meetings and webinars I use my iPad to drive most of the meeting but my PC to share documents or advance slides. iPad is right below my PC. Also use iPhone to demonstrate iPhone app via Zoom. ,image.jpg,Multiple times a day,Integrate,Meetings - call and document sharing,
P70,"Biking
- iPhone open faced mounted on my handlebars for navigation using Komoot app. 
- Apple Watch tracking heart rate and GPS in Strava. 
I really wish I had smart glasses for this. I want a HUD.",,Weekly,Integrate,Navigation and Tracking,Navigation on phone because better view of the map?
P12,"Photo editing, involves my phone and laptop, to transfer I use Your Phone app, phone can be anywhere but should be in the same WiFi network",,Weekly,Integrate,Photo Editing and Storage,
P28,"Project management- usually utilizes the Surface Pro X and Microsoft Teams.  I have Teams setup for multiple projects and use it to manage each project.  If I am travelling then my Samsung Note 9 serves as my wifi hotspot, and for checking text messages. ",,Multiple times a day,Integrate,Project Management ,Integrate WIFI
P80,#NAME?,15959966662142078435472.jpg,Multiple times a day,Integrate,Reading and Writing ,
P60,"Setup 1 in the photo, access to Worksite through VPN (sophos VPN client), email on MS Exchange Server, integrated document management system (iManage), access OneDrive for Business, Microsoft Teams, billing portals through Aderant iTimekeep and Rippe, video conferencing through Teams, Webex, Google Meet and Zoom.  In home, Dell A-I-O desktop with 2nd Dell Monitor, Brother and Toshiba Scanner/Printer/Fax/Copiers.  Desktop hardwired to Verizon FIos Router, and also connected to Netgear Orbi Mesh Wifi Network, where the Brother and Toshiba are also connected.  Also, remote access other work related home PC's through TeamViewer software. The AIO and External Monitors are in a slightly obtuse angular configuration, approximately 120 degrees, and I use the WIndows 10 Project setting to ""extend"" to the second monitor.  I am able to sometimes combine a screen from on-site work terminal server through the VPN on the Dell A-I-O monitor, with a local document I am working on locally on the secondary monitor.  Also, I have an external microphone set up for dictation through Nuance  Dragon, with which I can dictate to text either to a local document or email, or to a document or email I am accessing remotely though the work VPN.   I have set up my onsite office something like this, but because of security on that end, the experience is better and less buggy from my home access.  ",Setup 1.jpg,Multiple times a day,Integrate,Remote Work/Doc and Local Work/Doc,Good participant
P26,"Coding/research related work - Using my laptop to write and debug code related to work to perform astronomical research and analysis as well as code related to the technical operation of my workplace and its digital presence. The software involved is mainly VS Code, the 'new' Microsoft Edge, Jupyterlab, and Microsoft terminal. This is primarily a solo activity but may involve instant messaging coworkers and friends for reasons directly related to this activity, this messaging may be done either through my laptop or from my phone. This activity is performed in two different settings daily, the first setting is identical to the one from activity 1 (my bedroom setup). The second setting is my living room couch, which involves my phone being placed on the arm rest, books/notebooks/paperwork being placed on the endtable and beside me on the couch, and my laptop being used on my lap. ",,Multiple times a day,Integrate,Research and Coding,
P48,"The digital signage in our kitchen pulls data from various Google and Office 365 calendars. Quite often someone in the family will use their phone or computer to put an event in the family calendar so that someone else will see it on the kitchen screen. My car can also consume those same calendars, and it will automatically put an event's location in my navigation if there is one. ",,Weekly,Integrate,Schedule and Sharing ,An interesting examples
P50,"Tech support for school staff: I check the request email or text on my phone. I am in constant communication with staff who cannot accomplish a needed goal.
I look up information on one laptop, or access settings for gmail, access the server or Meraki etc.
I screenshare on another computer with the staff member so we can see what is going on and I can fix the problem and help them for next time. I may be in any software the school uses, such as Google Classroom, our standardized testing platform or our grade management system.
One laptop is on my lap, one is an a nearby table, my phone is in my hand.
Frankly, I am in physical therapy from trying to do this in distance learning. No kidding.",,Weekly,Integrate,"Search and Communciation
Screenshare and Communication ",
P96,"Concurrent web search, when an external reference pops up at work.
Using my personal device for a parallel search.
No software is involved.
I am the sole user.
The Surface Pro 6 devices are side by side on my workspace.",,Rarely,Integrate,Search and Search ,Parallel searches - maybe this is expand?
P81,"I test VPN setups by managing the server (on AWS) on my PC and connecting with a client on my laptop. I sit at my office desk and have the laptop on a small table to my right.
Software: OpenVPN Access Server",20191023_124630.jpg,Daily,Integrate,Set up and Testing,
P53,"Work: I teach at two universities.  Prepare class presentations w PowerPoint. Teach classes w Zoom and video camera and clip on remote microphone.  Use phone, android and iPhone, for messages, photos, etc for classes. All in a spare bedroom converted to an office.

",,Multiple times a day,Integrate,Teaching,
P60,"My wife does remote teaching and tutoring, on the Surface Pro 3 through a Logitech Streaming Camera, and sometimes with a second, larger monitor.  She uses Google Meet and some school-related and proprietary tutoring company software but primarily utilizes Microsoft Whiteboard with her Surface Stylus as a stand-in for a chalk board that she shares with students.  We also use the Surface Pro and Logitech Camera for Zoom meetings.  ",Setup 3.jpg,Multiple times a day,Integrate,Teaching and Tutoring,Content sharing
P23,"Video netcasting; involves lighting setup, microphone and other input mixing, XSplit Broadcaster pre-production, live production & recording, post-production; primarily only myself involved except when I have in-studio or remote guests",,Multiple times a day,Integrate,Video Netcasting,
P49,"Watch streamIng

Turn on roku from iPhone app
Watch roku on Samsung tv
Listen to audio from iPhone app on Bose 700",,Daily,Integrate,Watch TV - audio and video,A weird one but okay - headphone maybe the reason?
P94,"data verification
listening to sound files
Audacity, Excel
me alone

having windows open on both the laptop and the monitor for ease of work. Also using network folder to access files. Using wireless mouse
positioned as seen in foto.  Addition of ear buds for listening.
This task comes and goes",office.JPG,Weekly,Integrate,Work - verification,
P44,"User group leadership - involves coding, chat, video conferences, community social media & communications - mostly Microsoft office & Teams, Zoom, Slack, SaaS applications - self & team involved

Desktop and large monitors used in home office on standing desk, 2 laptops used in kitchen or living room as portable devices",,Daily,Integrate,Work and Communciation ,
